Constituency,Youth_Electorate_Pct,Senior_Electorate_Pct,First_Time_Voter_Pct,Male_Pop,Female_Pop,Female_to_Male_Ratio,Female_Pop_Pct,Pucca_Pct,Semi_Pucca_Pct,Kancha_Pct,Jhupri_Pct,Extreme_Poverty_Pct,Wealth_Polarization_Index,Organized_Learning_Pct,Sanitation_Pct,Electricity_Pct,Clean_Fuel_Pct,NEET_Youth_Pct,Financial_Inclusion_Pct,Internet_Pct,Winning_Party,Winner_Name,Winner_Votes,RunnerUp_Votes,Voter_Turnout_Pct,Total_Valid_Votes,Total_Registered_Voters,YES_Pct,NO_Pct,Coalition,Winner_Vote_Share_Pct,Victory_Margin_Pct,Digital_Youth_Index,Urban_Proxy,WPI_Log,Infrastructure_Composite,Deprivation_Index
Kurigram-3,33.81,16.85,12.81,76478.0,79572.75,106.66,51.59,2.54,13.56,83.47,0.43,83.9,0.03,48.15,54.54,98.97,5.1,34.49,53.11,17.18,Bangladesh Jamaat-e-Islami,Md. Mahbubul Alam,105594.0,77963.0,61.77,222236.0,366368.0,,,JAMAAT_REFORM,47.514354110045176,12.43317914289314,580.8558,0.12954,0.0295588022415444,52.87,59.19500000000001
Narayanganj- 4,47.56,5.47,15.71,20239.0,18495.0,91.38,47.75,69.86,25.43,4.64,0.07,4.71,14.8,58.91,52.45,99.81,30.14,33.84,48.19,31.21,National Citizen Party,Abdullah Al Amin,106171.0,80619.0,49.61,259998.0,536086.0,80.34,19.66,JAMAAT_REFORM,40.835314117800905,9.827767905906969,1484.3476,21.055804,2.760009940032921,60.79999999999999,19.275000000000002
Natore-1,30.84,15.18,11.01,73533.0,75629.0,102.1,50.52,5.5,25.72,68.7,0.08,68.78,0.09,56.32,59.64,99.66,5.72,31.7,53.0,20.97,Bangladesh Nationalist Party,Farzana Sharmin,102726.0,90568.0,74.52,267353.0,365482.0,,,BNP_COALITION,38.423357882649526,4.547545754115346,646.7148,0.3146,0.08617769624105233,55.00666666666667,50.24
Pabna-2,33.71,16.31,12.93,76010.5,78598.0,105.48,51.33,8.4,7.77,83.72,0.11,83.83,0.1,48.95,53.79,99.69,3.02,36.15,52.13,24.26,Bangladesh Nationalist Party,A. K. M. Selim Reza Habib,215406.0,77242.0,61.94,297907.0,492471.0,,,BNP_COALITION,72.30645805570195,46.37823213284683,817.8046,0.25368,0.09531017980432487,52.166666666666664,59.989999999999995
Gaibandha-4,32.27,15.61,12.33,266536.0,276565.0,103.76,50.92,4.61,20.98,74.16,0.25,74.41,0.06,55.84,42.81,99.03,4.77,34.97,50.88,17.55,Bangladesh Nationalist Party,Mohammad Shamim Kaisar,72727.0,63379.0,62.94,285505.0,464871.0,,,BNP_COALITION,25.47310905238087,3.2741983502915883,566.3385000000001,0.21989699999999998,0.058268908123975775,48.870000000000005,54.69
Satkhira-4,34.13,16.23,13.14,24682.0,24764.33,110.47,52.42,10.61,12.47,75.89,1.03,76.92,0.16,62.07,68.36,99.69,2.96,40.12,55.9,25.4,Bangladesh Jamaat-e-Islami,G. M. Nazrul Islam,106913.0,85426.0,67.7,196772.0,295843.0,68.1,31.9,JAMAAT_REFORM,54.33344174984246,10.919744679121013,866.902,0.31405599999999995,0.14842000511827327,57.00333333333334,58.519999999999996
Dhaka-19,38.82,10.76,12.72,17969.0,17627.0,98.1,49.52,57.06,31.73,11.09,0.12,11.21,5.09,60.03,29.53,99.91,65.69,36.39,43.28,40.14,Bangladesh Nationalist Party,Dewan Mohammad Salauddin,101956.0,61269.0,45.45,331585.0,741552.0,,,BNP_COALITION,30.748073646274708,12.270458555121614,1558.2348,37.482714,1.8066480817218056,65.04333333333334,23.8
Chuadanga-2,34.86,12.72,12.13,67929.5,69335.25,102.8,50.69,41.5,18.03,40.16,0.3,40.46,1.2,48.11,59.04,99.55,9.63,37.56,42.49,25.26,Bangladesh Jamaat-e-Islami,Md. Ruhul Amin,208011.0,163877.0,78.22,374416.0,487203.0,75.6,24.4,JAMAAT_REFORM,55.55611939660699,11.787423614375454,880.5636000000001,3.9964500000000003,0.7884573603642702,56.07333333333333,39.010000000000005
Khulna-4,37.75,13.83,14.05,42562.5,42992.25,102.09,50.49,22.74,32.88,43.54,0.84,44.39,2.61,58.78,63.4,99.66,9.88,36.03,52.67,25.46,Bangladesh Nationalist Party,Rakibul Islam,74845.0,66010.0,66.64,243845.0,373879.0,67.5,32.5,BNP_COALITION,30.693678361254072,3.6232032643687586,961.115,2.246712,1.2837077723447896,57.64666666666667,40.21
Pabna-3,31.9,15.07,12.46,75491.5,77739.0,104.08,51.0,22.32,17.51,60.08,0.08,60.16,1.89,53.77,62.04,99.6,6.21,34.13,50.18,20.63,Bangladesh Jamaat-e-Islami,Mohammad Ali Asgar,147475.0,144206.0,70.17,332618.0,482796.0,,,JAMAAT_REFORM,44.33764859388247,0.9828091083465116,658.097,1.386072,1.0612565021243408,55.949999999999996,47.144999999999996
